FID,ONScode,ONSname,Region,BodyType,Battery electric (Company),Battery electric (Private),Battery electric (Total),Plug-in hybrid electric (petrol) (Company),Plug-in hybrid electric (petrol) (Total),Total (Company),Total (Private),Total (Total),Shape__Area,Shape__Length
247,E08000007,Stockport,North West,Motorcycles,1,21,22,0,0,1,21,22,126040348.490097,73631.0890907973
248,E08000008,Tameside,North West,Motorcycles,1,21,22,0,0,1,21,22,103154247.722641,55973.0550571155
249,E08000009,Trafford,North West,Motorcycles,2,25,27,0,0,2,25,27,106044604.785675,60714.9991313479
250,E08000010,Wigan,North West,Motorcycles,2,35,37,0,0,2,35,37,188171014.795837,88682.4116794718
251,E08000011,Knowsley,North West,Motorcycles,1,6,7,0,0,1,6,7,86500031.7274017,68163.8832839651
252,E08000012,Liverpool,North West,Motorcycles,1,23,24,0,0,1,23,24,111835593.626411,62696.5993588289
253,E08000013,St. Helens,North West,Motorcycles,1,8,9,0,0,1,8,9,136358780.853088,76379.812216368
254,E08000014,Sefton,North West,Motorcycles,2,22,24,0,0,2,22,24,156578258.79126,130341.257310849
255,E08000015,Wirral,North West,Motorcycles,45,43,88,0,0,45,43,88,160922004.907288,133924.121231149
256,E08000016,Barnsley,Yorkshire and The Humber,Motorcycles,1,24,25,0,0,1,24,25,329077576.743942,126418.480693044
257,E08000017,Doncaster,Yorkshire and The Humber,Motorcycles,12,31,43,0,0,12,31,43,568006431.217484,171113.010006791
258,E08000018,Rotherham,Yorkshire and The Humber,Motorcycles,0,25,25,0,0,0,25,25,286534378.866501,106146.658844867
259,E08000019,Sheffield,Yorkshire and The Humber,Motorcycles,4,43,47,0,0,4,43,47,367929997.213348,132824.242952116
260,E08000021,Newcastle upon Tyne,North East,Motorcycles,0,17,17,0,0,0,17,17,113451801.243317,65213.8280471217
261,E08000022,North Tyneside,North East,Motorcycles,1,22,23,0,0,1,22,23,82300621.1451874,65595.8023921869
262,E08000023,South Tyneside,North East,Motorcycles,1,10,11,0,0,1,10,11,64420334.6034393,51335.0171606378
263,E08000024,Sunderland,North East,Motorcycles,5,19,24,0,0,5,19,24,137436290.144424,99821.9690448938
264,E08000025,Birmingham,West Midlands,Motorcycles,35,65,100,0,0,35,65,100,267791151.73967,106250.794014248
265,E08000026,Coventry,West Midlands,Motorcycles,47,22,69,0,0,47,22,69,98639088.6562881,54052.4494128151
266,E08000027,Dudley,West Midlands,Motorcycles,2,31,33,0,0,2,31,33,97958229.5149384,75372.2907122196
267,E08000028,Sandwell,West Midlands,Motorcycles,0,19,19,0,0,0,19,19,85558906.1847763,59201.6852450065
268,E08000029,Solihull,West Midlands,Motorcycles,21,21,42,0,0,21,21,42,178282023.161247,101023.266819082
269,E08000030,Walsall,West Midlands,Motorcycles,0,25,25,0,0,0,25,25,103973530.000946,59399.7390444176
270,E08000031,Wolverhampton,West Midlands,Motorcycles,2,14,16,0,0,2,14,16,69436685.1266327,56050.1278266087
271,E08000032,Bradford,Yorkshire and The Humber,Motorcycles,2,45,47,0,0,2,45,47,366419689.51532,135914.965732405
272,E08000033,Calderdale,Yorkshire and The Humber,Motorcycles,1,17,18,0,0,1,17,18,363960946.597305,107684.893783348
273,E08000034,Kirklees,Yorkshire and The Humber,Motorcycles,3,50,53,0,0,3,50,53,408551667.407288,125665.908370181
274,E08000035,Leeds,Yorkshire and The Humber,Motorcycles,4,69,73,0,0,4,69,73,551706498.093048,161516.600530211
275,E08000036,Wakefield,Yorkshire and The Humber,Motorcycles,0,53,53,0,0,0,53,53,338619719.483505,109444.438663069
276,E08000037,Gateshead,North East,Motorcycles,4,19,23,0,0,4,19,23,142339149.241318,90175.8152669966
277,E09000001,City of London,London,Motorcycles,101,3,104,0,0,101,3,104,2890318.44403076,9377.81467502522
278,E09000002,Barking and Dagenham,London,Motorcycles,12,18,30,0,0,12,18,30,36101455.4189529,40898.4282753648
279,E09000003,Barnet,London,Motorcycles,8,39,47,0,0,8,39,47,86748227.8831329,50815.5975177389
280,E09000004,Bexley,London,Motorcycles,2,28,30,0,0,2,28,30,60578408.1245193,47931.4230818983
281,E09000005,Brent,London,Motorcycles,33,54,87,0,0,33,54,87,43232684.1274872,38331.001751277
282,E09000006,Bromley,London,Motorcycles,5,58,63,0,0,5,58,63,150130427.159538,76141.6277070387
283,E09000007,Camden,London,Motorcycles,14,55,69,0,0,14,55,69,21789308.595253,26149.495598481
284,E09000008,Croydon,London,Motorcycles,60,65,125,0,0,60,65,125,86496808.3293228,58688.2842361555
285,E09000009,Ealing,London,Motorcycles,238,58,296,0,0,238,58,296,55544376.032196,47432.5829098616
286,E09000010,Enfield,London,Motorcycles,5,29,34,0,0,5,29,34,82200174.297287,41061.1111768429
287,E09000011,Greenwich,London,Motorcycles,16,41,57,0,0,16,41,57,47307031.4329834,47566.9752848355
288,E09000012,Hackney,London,Motorcycles,23,30,53,0,0,23,30,53,19046912.9773788,25374.028868182
289,E09000013,Hammersmith and Fulham,London,Motorcycles,316,87,403,0,0,316,87,403,16403545.8968506,23966.1399241039
290,E09000014,Haringey,London,Motorcycles,23,66,89,0,0,23,66,89,29598417.6468964,29011.100205627
291,E09000015,Harrow,London,Motorcycles,11,27,38,0,0,11,27,38,50463307.3829956,33734.608106147
292,E09000016,Havering,London,Motorcycles,2,12,14,0,0,2,12,14,112341328.142738,63706.9860246864
293,E09000017,Hillingdon,London,Motorcycles,51,44,95,0,0,51,44,95,115700600.050133,63883.1561402854
294,E09000018,Hounslow,London,Motorcycles,24,38,62,0,0,24,38,62,55970470.8641586,64471.2436618718
295,E09000019,Islington,London,Motorcycles,60,60,120,0,0,60,60,120,14856680.6578674,20720.1949694478
296,E09000020,Kensington and Chelsea,London,Motorcycles,121,64,185,0,0,121,64,185,12125528.5328598,20963.4584035467
297,E09000021,Kingston upon Thames,London,Motorcycles,0,51,51,0,0,0,51,51,37265392.9152222,37527.9493942753
298,E09000022,Lambeth,London,Motorcycles,21,90,111,0,0,21,90,111,26807914.5192261,33999.8604751881
299,E09000023,Lewisham,London,Motorcycles,14,61,75,0,0,14,61,75,35148365.9241028,41158.0294216116
300,E09000024,Merton,London,Motorcycles,21,45,66,0,0,21,45,66,37624746.5277786,32340.3771201137
301,E09000025,Newham,London,Motorcycles,23,17,40,0,0,23,17,40,36198118.0374069,35772.3133095239
302,E09000026,Redbridge,London,Motorcycles,9,27,36,0,0,9,27,36,56403472.4249954,50426.1191048432
303,E09000027,Richmond upon Thames,London,Motorcycles,350,89,439,0,0,350,89,439,57393447.9808273,68787.7012682714
304,E09000028,Southwark,London,Motorcycles,1195,52,1247,0,0,1195,52,1247,28876525.9301224,34570.9765509178
305,E09000029,Sutton,London,Motorcycles,4,44,48,0,0,4,44,48,43842789.962265,39804.2153145852
306,E09000030,Tower Hamlets,London,Motorcycles,114,33,147,0,0,114,33,147,19770856.8000107,28746.8910481568
307,E09000031,Waltham Forest,London,Motorcycles,9,23,32,0,0,9,23,32,38807995.9513626,33326.6907765963
308,E09000032,Wandsworth,London,Motorcycles,23,112,135,0,0,23,112,135,34257039.1979294,38789.7703657056
309,E09000033,Westminster,London,Motorcycles,9,38,47,0,0,9,38,47,21477144.2528915,27425.6050038667
310,N09000001,Antrim and Newtownabbey,Northern Ireland,Motorcycles,3,10,13,0,0,3,10,13,728186534.01133,165066.961090158
311,N09000002,"Armagh City, Banbridge and Craigavon",Northern Ireland,Motorcycles,0,4,4,0,0,0,4,4,1437068573.07787,242954.335395177
312,N09000003,Belfast,Northern Ireland,Motorcycles,2,18,20,0,0,2,18,20,137716652.025108,65866.7852260913
313,N09000004,Causeway Coast and Glens,Northern Ireland,Motorcycles,0,4,4,0,0,0,4,4,1985534670.71793,381026.18387915
314,N09000005,Derry City and Strabane,Northern Ireland,Motorcycles,0,4,4,0,0,0,4,4,1251241580.2269,271397.40327128
315,N09000006,Fermanagh and Omagh,Northern Ireland,Motorcycles,0,3,3,0,0,0,3,3,3012114892.36445,426437.771573504
316,N09000007,Lisburn and Castlereagh,Northern Ireland,Motorcycles,0,3,3,0,0,0,3,3,510438048.321739,167278.148593367
317,N09000008,Mid and East Antrim,Northern Ireland,Motorcycles,3,3,6,0,0,3,3,6,1061355460.9354,234604.730290033
318,N09000009,Mid Ulster,Northern Ireland,Motorcycles,0,2,2,0,0,0,2,2,1957293776.36245,318306.174447411
319,N09000010,"Newry, Mourne and Down",Northern Ireland,Motorcycles,0,5,5,0,0,0,5,5,1682340596.67157,379481.25491599
320,N09000011,Ards and North Down,Northern Ireland,Motorcycles,1,2,3,0,0,1,2,3,566472991.274521,203349.301102071
321,S12000005,Clackmannanshire,Scotland,Motorcycles,1,6,7,0,0,1,6,7,159184968.76619,96933.0750418422
322,S12000006,Dumfries and Galloway,Scotland,Motorcycles,1,10,11,0,0,1,10,11,6436567194.68687,1207331.30286274
323,S12000008,East Ayrshire,Scotland,Motorcycles,2,14,16,0,0,2,14,16,1270345623.57393,341126.501410668
324,S12000010,East Lothian,Scotland,Motorcycles,0,21,21,0,0,0,21,21,679240459.691589,202120.828124236
325,S12000011,East Renfrewshire,Scotland,Motorcycles,0,8,8,0,0,0,8,8,174247286.301239,93982.4588278508
326,S12000013,Na h-Eileanan Siar,Scotland,Motorcycles,0,0,0,0,0,0,0,0,3096614423.02372,3871025.95969535
327,S12000014,Falkirk,Scotland,Motorcycles,0,5,5,0,0,0,5,5,297137422.788071,169016.307883955
328,S12000017,Highland,Scotland,Motorcycles,2,18,20,0,0,2,18,20,26158740580.2084,5228318.65637805
329,S12000018,Inverclyde,Scotland,Motorcycles,0,9,9,0,0,0,9,9,161948610.940994,79316.9463659007
330,S12000019,Midlothian,Scotland,Motorcycles,3,28,31,0,0,3,28,31,355272051.807449,126464.604454531
331,S12000020,Moray,Scotland,Motorcycles,1,4,5,0,0,1,4,5,2237555713.50238,463319.000621918
332,S12000021,North Ayrshire,Scotland,Motorcycles,0,12,12,0,0,0,12,12,885284482.723328,350191.827776382
333,S12000023,Orkney Islands,Scotland,Motorcycles,0,2,2,0,0,0,2,2,1015036066.02127,1203102.77977173
334,S12000026,Scottish Borders,Scotland,Motorcycles,0,11,11,0,0,0,11,11,4739166535.68079,514368.510110611
335,S12000027,Shetland Islands,Scotland,Motorcycles,0,2,2,0,0,0,2,2,1468514139.09113,2321846.76573869
336,S12000028,South Ayrshire,Scotland,Motorcycles,1,7,8,0,0,1,7,8,1224367576.00628,334928.359876579
337,S12000029,South Lanarkshire,Scotland,Motorcycles,3,25,28,0,0,3,25,28,1773890203.27654,284613.8566307
338,S12000030,Stirling,Scotland,Motorcycles,3,9,12,0,0,3,9,12,2252534182.27551,374959.25805914
339,S12000033,Aberdeen City,Scotland,Motorcycles,0,33,33,0,0,0,33,33,185571286.389832,123488.10079458
340,S12000034,Aberdeenshire,Scotland,Motorcycles,1,22,23,0,0,1,22,23,6318005998.97935,795098.949301964
341,S12000035,Argyll and Bute,Scotland,Motorcycles,1,12,13,0,0,1,12,13,7005856181.79671,3795934.4124369
342,S12000036,City of Edinburgh,Scotland,Motorcycles,10,127,137,0,0,10,127,137,263395003.679382,110355.561123041
343,S12000038,Renfrewshire,Scotland,Motorcycles,1,8,9,0,0,1,8,9,261490836.761856,131745.446686221
344,S12000039,West Dunbartonshire,Scotland,Motorcycles,0,5,5,0,0,0,5,5,177319583.18425,103710.998122334
345,S12000040,West Lothian,Scotland,Motorcycles,0,25,25,0,0,0,25,25,428769481.686554,134930.310291464
346,S12000041,Angus,Scotland,Motorcycles,0,12,12,0,0,0,12,12,2184982978.68718,328940.561902964
347,S12000042,Dundee City,Scotland,Motorcycles,0,17,17,0,0,0,17,17,59800679.97612,47831.2069158876
348,S12000045,East Dunbartonshire,Scotland,Motorcycles,3,15,18,0,0,3,15,18,174489033.610092,99592.6325879833
349,S12000047,Fife,Scotland,Motorcycles,5,42,47,0,0,5,42,47,1325190262.60379,358324.912814313
350,S12000048,Perth and Kinross,Scotland,Motorcycles,3,20,23,0,0,3,20,23,5383770929.93335,633248.172986055
351,S12000049,Glasgow City,Scotland,Motorcycles,6,35,41,0,0,6,35,41,174622045.629852,135573.393985495
352,S12000050,North Lanarkshire,Scotland,Motorcycles,5,20,25,0,0,5,20,25,472298223.955948,163983.319889321
353,W06000001,Isle of Anglesey,Wales,Motorcycles,0,4,4,0,0,0,4,4,715212551.920387,378960.671414204
354,W06000002,Gwynedd,Wales,Motorcycles,1,5,6,0,0,1,5,6,2548292895.11299,643030.305858802
355,W06000003,Conwy,Wales,Motorcycles,0,10,10,0,0,0,10,10,1130179030.87906,283263.119395945
356,W06000004,Denbighshire,Wales,Motorcycles,1,10,11,0,0,1,10,11,838716213.358932,228749.239059247
357,W06000005,Flintshire,Wales,Motorcycles,1,24,25,0,0,1,24,25,439830286.385391,239003.212626092
358,W06000006,Wrexham,Wales,Motorcycles,2,12,14,0,0,2,12,14,503773535.230103,190023.448114477
359,W06000008,Ceredigion,Wales,Motorcycles,1,8,9,0,0,1,8,9,1788379261.89556,382131.522913247
360,W06000009,Pembrokeshire,Wales,Motorcycles,6,12,18,0,0,6,12,18,1618344480.35981,743250.249529533
361,W06000010,Carmarthenshire,Wales,Motorcycles,3,25,28,0,0,3,25,28,2371104028.24967,591756.508359416
362,W06000011,Swansea,Wales,Motorcycles,10,31,41,0,0,10,31,41,377614544.98658,270825.582117602
363,W06000012,Neath Port Talbot,Wales,Motorcycles,1,12,13,0,0,1,12,13,442272629.118,182182.731934738
364,W06000013,Bridgend,Wales,Motorcycles,3,17,20,0,0,3,17,20,250785314.083366,93180.2520200993
365,W06000014,Vale of Glamorgan,Wales,Motorcycles,4,19,23,0,0,4,19,23,331261382.621326,108400.387481918
366,W06000015,Cardiff,Wales,Motorcycles,9,51,60,0,0,9,51,60,142303613.187145,79616.4688690008
367,W06000016,Rhondda Cynon Taf,Wales,Motorcycles,0,23,23,0,0,0,23,23,424150476.006226,130225.273793906
368,W06000018,Caerphilly,Wales,Motorcycles,11,20,31,0,0,11,20,31,277387807.112293,116195.727849562
369,W06000019,Blaenau Gwent,Wales,Motorcycles,0,6,6,0,0,0,6,6,108728046.067421,65601.5677696128
370,W06000020,Torfaen,Wales,Motorcycles,2,14,16,0,0,2,14,16,126239929.82222,82540.0392973317
371,W06000021,Monmouthshire,Wales,Motorcycles,1,13,14,0,0,1,13,14,850327720.788227,224909.141029611
372,W06000022,Newport,Wales,Motorcycles,2,19,21,0,0,2,19,21,190431147.336025,153213.179655943
373,W06000023,Powys,Wales,Motorcycles,1,19,20,0,0,1,19,20,5195311063.63076,610076.853820174
374,W06000024,Merthyr Tydfil,Wales,Motorcycles,0,7,7,0,0,0,7,7,111956970.938263,66689.0810594782
