Project Name,Type Name,Status Detail Name,Status Name,Project Date,Company,Country Name,Location,Other,Plant,Project Link,,Technology Name,Unit Base Name 1,Latitude,Longitude,Major Injection Amount
American Electric Power - Great Bend IGCC,Capture,Plant Design,Hold,1/1/2009,American Electric Power,United States,Meigs County,"The project was to build a new American Electric Power clean-coal power plant in Meigs County, Ohio but the project is on hold.",Great Bend IGCC,http://gallipolis.uber.matchbin.net/printer_friendly/1913848,,,,38.927706,-81.768613,
Alberta Saline Aquifer Project & Genesee Demonstration Project,Capture,Planning,Hold,,EPCOR,Canada,west of Edmonton,"The Alberta Saline Aquifer Project will identify deep saline aquifers in Alberta for use in a carbon sequestration pilot project. Ph II will construct/operate a demo pilot (3,300 metric tons/day) plant at Genesee power plant. CO2 to be stored in saline.",Proposed New Facility,http://www.zeroco2.no/projects/alberta-saline-aquifer-project-asap-genesee-post-combustion-demonstration-plant,,Amines,Tonnes per Day,53.343584,-114.303553,"2,740"
ZeroGen Project,Capture & Storage,Developing Infrastructure,Terminated,1/1/2006,State of Queensland,Australia,Rockhampton,"Stage 1 of the project was planned to be 80MW and capture 420,000 tonnes of CO2 per year and stage 2 was planned to be 300 MW. The first stage was scheduled to operate in 2012 and the scaled up version in late 2015.",ZeroGen IGCC Plant,http://sequestration.mit.edu/tools/projects/zerogen.html,,,Tonnes per Day,-23.510207,150.319062,"1,151"
Wallula IGCC Plant,Capture & Storage,Permitting,Terminated,5/1/2014,"Wallula Resource Recovery, LLC",United States,Wallula,"The project was cancelled in 2008 with the reason given as ""trouble obtaining drilling equipment.""",Wallula Energy Resource Center,http://sequestration.mit.edu/tools/projects/wallula_energy_resource_center.html,,,% Reduction,46.102622,-118.918573,65
Vattenfall Janschwalde,Capture & Storage,Permitting,Terminated,1/1/2015,Vattenfall,Germany,Janschwalde,The feasibility studies for the Demonstration plant in Jänschwalde will begin in mid 2008. From early 2009 the planning and applications for permits will be the centre of activities. CO2 will be used for  EGR in Altmark.,Janschwalde,http://www.zeroco2.no/projects/vattenfall-oxyfuel-and-post-combustion-demonstration-plant-in-jaenschwalde,,Oxy-fuel Combustion,Tonnes per Day,51.8334245,14.4720226,"4,658"
Vales Point Power Station CCS Demonstration,Capture & Storage,Developing Infrastructure,Terminated,1/1/2012,Delta Electricity,Australia,Mannering Park,"Pilot capture plant will be moved from Munmorah to Vales power station between 2013 and 2015. It will demonstrate capture and storage of up to 3,000 tonnes per year.",Vales Point Power Station,http://www.abc.net.au/news/2015-08-11/power-station-carbon-capture-and-storage-project-terminated/6685304,,Ammonia Absorption Technology,,-33.161057,151.542996,
Trailblazer Energy Center,Capture & Storage,Permitting,Terminated,1/1/2015,Tenaska Inc.,United States,Sweetwater,In 2013 Tenaska cancelled the Trailblazer Energy Center project.,Tenaska Trailblazer Energy Center,https://sequestration.mit.edu/tools/projects/tenaska.html,,Fluor Corporations advanced Econamine FG Plussm Technology,Tonnes per Day,32.525131,-100.262633,"15,755"
Swan Hills in-situ Coal Gasification/Sagitawah Power Project,Capture & Storage,Developing Infrastructure,Terminated,6/1/2009,Swan Hills Synfuels,Canada,Swan Hills,"The project will use in situ coal gasification to tap deep, unmineable coal to produce syngas that will be processed in a conventional gas plant to remove CO2 as a byproduct stream. Project on hold due to low natural gas prices.",Swan Hills Synfuels,http://swanhills-synfuels.com/iscg/overview/,,,Tonnes per Day,54.565619,-115.731991,"3,562"
Surat Basin CCS Project,Capture & Storage,Planning,Terminated,12/1/2015,General Electric,Australia,Wandoan,"Located near Wandoan in Queenslands Surat Basin, the project is a proposed 400 MW power station using IGCC with carbon capture and storage technologies.  They also will examine promising potential CO2 sinks.",TBD,http://www.zeroco2.no/projects/wandoan-power-igcc,,Amines,Tonnes per Day,-25.067967,148.595423,"6,850"
Summit Energy - Texas Clean Energy Project (TCEP),Capture & Storage,Engineering design,Terminated,1/1/2010,"Summit Clean Energy Texas, LLC",United States,Penwell,"Summit's Texas Clean Energy Project (TCEP), dubbed a ""NowGen"" plant by national environmental group the Clean Air Task Force, will be a new 400 mw coal gasification plant. The project was discontinued in 2015.",Penwell IGCC Plant,https://www.netl.doe.gov/File%20Library/Research/Coal/major%20demonstrations/ccpi/FE0002650.pdf,,Rectisol,Tonnes per Day,31.74604,-102.608324,"6,302"
Scottish Power - Longannet CCS,Capture & Storage,Planning,Terminated,,Scottish Power,Scotland,Kincardine,Project was to convert the plant to a supercritical coal plant and capture CO2 and sequester it in a depleted oil field in the North Sea.,Longannet Coal-Fired Plant,http://www.rsc.org/chemistryworld/News/2011/October/24101102.asp,,Amines,,56.04833,-3.68249,
Scottish Power - Longannet Biomass Power,Capture & Storage,,Terminated,,Scottish Power,Scotland,Kincardine,A decision has been made not to proceed with Longannet but to pursue other projects with the £1bn funding made available by the government.,Longannet Power Plant,http://coalpowerplants.blogspot.com/2011/01/longannet-coal-power-plant.html,,,,56.04833,-3.68249,
Schwarze Pumpe (Vattenfall CO2-Free Oxyfuel Plant),Capture & Storage,Plant in Operation,Terminated,5/1/2008,Vattenfall,Germany,Schwarze Pumpe,"The plant will use oxyfuel technology to separate out CO2, and the captured CO2, will be transported by truck, is to be stored in a gas field in Altmark.",Vattenfall Pilot Plant,http://www.globalccsinstitute.com/sites/www.globalccsinstitute.com/files/content/page/122975/files/Schwarze%20Pumpe%20Oxyfuel%20Pilot%20Plant.pdf,,,Tonnes per Day,51.531127,14.351916,216
SaskPower Oxyfuel,Capture & Storage,,Terminated,1/1/2012,SaskPower,Canada,Estevan,"SaskPower had planned to implement a 300-megawatt clean coal plant that would capture about 8,000 tonnes of CO2 a day for EOR and/or sequestration. Project rejected due to capital cost and uncertainty of the economic value of CO2 reduction.",Shand Power Station,http://www.ieaghg.org/docs/CCS%20financing%20pdfs/J%20-%20Stobbs%20-%20Saskpower%20oxyfuel%20project.pdf,,,Tonnes per Day,49.088206,-102.864847,"8,000"
Saline Joniche SEI,Capture & Storage,Permitting,Terminated,1/1/2013,SEI,Italy,Saline Joniche,SEI S.p.A. (Milan) was planning the construction of a modern coal-fired power plant with an installed capacity of 1320 MW on an unused industrial area in Saline Joniche.,Saline Joniche Power Plant,http://globalenergyobservatory.org/geoid/40325,,,Tonnes per Day,37.93491,15.725314,0
RWE nPower - Tilbury Project in UK,Capture & Storage,Plant Design,Terminated,1/1/2013,RWE Power,United Kingdom,Tilbury,Plant could reduce emissions by 90%. A key of the study is to look at the transportation options and storage in geological formations for possible EOR or EGR.,Tilbury Clean Coal Plant,http://sequestration.mit.edu/tools/projects/rwe_npower_tilbury.html,,,% Reduction,51.456074,0.38857,90
PureGen project,Capture & Storage,Planning,Terminated,1/1/2014,SCS Energy,United States,Linden,"Build a coal-fired electric plant in Linden, New Jersey that would capture its emissions of carbon dioxide and pump the pollutant 70 miles offshore for sequestration in a sandstone approximately 1 mile beneath ocean floor.",Coal-fired power plant,No specific project link identified.,,,% Reduction,40.608355,-74.219695,90
Pioneer Project,Capture & Storage,,Terminated,1/1/2008,TransAlta,Canada,Wabamun,"The project had been terminated. The study suggested that although the technology works and capital costs were in-line with expectations, the market for carbon sales and the price of emissions reductions were insufficient to allow the project to proceed.",Keephills 3 Coal-fired Power Plant,https://www.transalta.com/sites/default/files/Project%20Pioneer_Final%20Report_Executive%20Summary_2013.pdf,,Chilled Ammonia,Tonnes per Day,53.447382,-114.449536,"2,740"
Pernis Refinery Project,Capture & Storage,Plant in Operation,Terminated,,Shell,Netherlands,Pernis (Rotterdam),"Intend to build the first of a new generation of CO2 storage facilities in two depleted natural-gas fields in Barendrecht. Build a gasification hydrogen plant at Pernis Refinery, use excess gas at a 177 MWe IGCC plant, and use the CO2 in gas fields.",Pernis refinery - Gasification Hydrogen Plant,https://sequestration.mit.edu/tools/projects/barendrecht.html,,,Tonnes per Day,51.881705,4.359552,"1,096"
NRG Energy Inc. (Huntley IGCC Project),Capture & Storage,Permitting,Terminated,1/1/2013,NRG Energy Inc.,United States,Tonawanda,NRG Energy planned to construct an IGCC plant in New York. The project was canceled in 2008.,Huntley IGCC,http://media.corporate-ir.net/media_files/irol/12/121544/releases/071608.pdf,,Mitsubishi HI Gasification (KS-1),% Reduction,43.017819,-78.88077,65
Monash Energy C to L CO2 Capture and Storage Project,Capture & Storage,Planning,Terminated,1/1/2006,Monash Energy,Australia,Latrobe Valley,The project planned to build a coal-to-liquids plant with CCS demonstration plant using brown coal as the feedstock.,Monash Energy Latrobe Valley CTL Plant,http://globalenergyobservatory.org/geoid/40157,,,Tonnes per Day,-38.235301,146.57174,"35,620"
Leucadia Energy Capture Project - Louisiana,Capture & Storage,,Terminated,11/16/2009,Leucadia Energy LLC,United States,Lake Charles,Proposed SNG plant to use petroleum coke to produce methane and make synthetic natural gas. The CO2 can be pumped into oil fields to extract crude oil more efficiently. The plant would demonstrate large-scale recovery of 4 million tons per year of CO2.,Lake Charles Co-Generation Plant,http://www.netl.doe.gov/File%20Library/Research/Coal/major%20demonstrations/iccus/FE0002314.pdf,,Cold Methanol (Rectisol),Tonnes per Day,30.189176,-93.306548,"12,330"
Kwinana Project,Capture & Storage,Plant Design,Terminated,1/1/2014,Hydrogen Energy International LLC,Australia,Kwinana,"The Kwinana project will create hydrogen from coal gasification to produce 500 MW of electricity. The captured CO2 is transported offshore to be sequestered in the Perth Basin. The geological rock formation in the basin contained ""gas chimneys"".",Industrial-scale coal-based hydrogen generating facility,http://sequestration.mit.edu/tools/projects/bp_rio_tinto_kwinana.html,,,Tonnes per Day,-32.215362,115.776058,"10,960"
Kentucky NewGas project,Capture & Storage,Permitting,Terminated,1/1/2017,Kentucky NewGas,United States,Muhlenberg County,"Filed for air permit in December 2008.  Build with CCS capability.  Funding CCS research in western Kentucky through Kentucky Geological Survey. The CO2 test well will monitor 1,500 tons of CO2.",Kentucky NewGas plant,http://www.zeroco2.no/projects/kentucky-newgas,,ConocoPhillips E-Gas Gasification,Tonnes per Day,37.293611,-87.118872,"13,700"
Kemper County IGCC Project,Capture & Storage,Plant in Operation,Terminated,11/17/2008,Southern Company,United States,Kemper County,Combined Cycle portion of the plant operating on natural gas only without capture,Kemper County IGCC Plant,http://www.netl.doe.gov/research/coal/project-information/fc26-06nt42391?k=NT42391,,Transport Integrated Gasification (TRIG),Tonnes per Day,32.649461,-88.757013,"8,220"
Kedzierzyn,Capture & Storage,Developing Infrastructure,Terminated,2/1/2009,Zaklady Azotowe Kedzierzyn S.A.,Poland,Kedzierzyn-Kozle,"The first Zero-Emiissiion Energy-Carbochemical Complex in the world. Also, they are planning the construction of a CO2 pipeline to a suitable storage area.  Plant will burn up to 10% biomass fuel.",Kedzierzyn Zero-Emission Plant,http://www.energieregion.nrw.de/_database/_data/datainfopool/100628_08-2_Lampert_Kedzierzyn_Project.pdf,,Gas Separation,Tonnes per Day,50.316361,18.251953,"6,850"
Hydrogen Energy California Project,Capture & Storage,Engineering design,Terminated,12/1/2019,Hydrogen Energy International LLC,United States,Tupman,The IGCC plant was to produce hydrogen from coal and petcoke mixes to combust in combustion turbines and the CO2 will be used for EOR in the Elk Hills Oil Field.,HECA IGCC Plant,http://www.netl.doe.gov/research/coal/project-information/FE0000663,,Rectisol,Tonnes per Day,35.332443,-119.383456,"7,124"
Hunton Energy Freeport Plant,Capture & Storage,Permitting,Terminated,,Hunton Energy,United States,Freeport,The CO2 was to be captured and pumped under pressure into pipelines for use in enhanced oil recovery in the Texas oilfields.,Hunton Energy Freeport Plant,https://www.compelo.com/energy/news/newshunton_energy_to_build_texas_plant_for_dow_chemical/,,,Tonnes per Day,28.9773217,-95.3509855,"21,920"
Hunterston Station CCS,Capture & Storage,Planning,Terminated,,Ayrshire Power,Scotland,Hunterston,The project included two 926MW power plants and a carbon capture demonstration.,Hunterston Power Station,http://www.zeroco2.no/projects/hunterston,,Ammonia Absorption Technology,,55.720961,-4.895658,
Hazelwood Post-Combustion 2030 Project,Capture & Storage,Plant Closed,Terminated,12/1/2008,International Power Australia,Australia,Morewell,The project develops an innovative retrofit low emission technology project at its 1600 MW brown coal-fired Hazelwood power station in the Latrobe Valley.  The project includes a coal drying demonstration phase and a CO2 capture part. Plant closed 2017.,Hazelwood Power Station,http://www.coalresearchforum.org/20070620_sinclair.pdf,,Amines,Tonnes per Day,-38.27297592,146.3917847,50
Halten CO2 Project (Draugen-Heidrun),Capture & Storage,Plant Design,Terminated,1/1/2012,Statoil,Norway,Tjeldbergodden,The project was cancelled due to poor financials.,Statoil Hydro Natural Gas Processing Facility,http://sequestration.mit.edu/tools/projects/statoil_shell_halten_draugen.html,,Amines,Tonnes per Day,63.41136551,8.729652405,"6,850"
FutureGen - Tuscola,Capture & Storage,,Terminated,1/1/2015,FutureGen Industrial Alliance Inc.,United States,Tuscola,"Tuscola, Illinois was one of four sites that was considered for the FutureGen Alliance project. The  site was not chosen fromthe site finalists.",FutureGen - Tuscola,No specific project link identified.,,,,39.801556,-88.325743,
FutureGen - Odessa,Capture & Storage,,Terminated,1/1/2015,FutureGen Industrial Alliance Inc.,United States,Odessa,"Odessa, Texas was one of four sites that was considered for the FutureGen Alliance project. The  site was not chosen fromthe site finalists.",FutureGen - Odessa,No specific project link identified.,,,,31.85984802,-102.3777237,
FutureGen - Mattoon,Capture & Storage,,Terminated,1/1/2015,FutureGen Industrial Alliance Inc.,United States,Mattoon,FutureGen project intended to create a zero-emissions fossil fuel plant that would produce hydrogen and byproducts for use by other industries.,FutureGen - Mattoon,https://www.reuters.com/article/coal-futuregen-illinois-idUKN1848671120071218,,,,39.496862,-88.440473,
FutureGen - Jewett,Capture & Storage,,Terminated,1/1/2015,FutureGen Industrial Alliance Inc.,United States,Jewett,"Jewett, Texas was one of four sites that was considered for the FutureGen Alliance project. The 400-acre site was not chosen out of the site finalists.",FutureGen - Jewett,No specific project link identified.,,,,31.36325836,-96.14356995,
FutureGen 2.0,Capture & Storage,,Terminated,1/1/2010,FutureGen Industrial Alliance Inc.,United States,Morgan County,"FutureGen intended to create a zero-emissions fossil fuel plant that produces hydrogen and byproducts for use by other industries. Morgan County, IL was chosen as the site of the FutureGen project. The project was discontinued in 2015.",Ameren's 200 MW Unit 4,https://www.netl.doe.gov/File%20Library/Research/Coal/major%20demonstrations/futureGen/FE0001882-FE0005054.pdf,,Oxy-fuel Combustion,Tonnes per Day,39.773533,-90.097383,"2,740"
First Energy Bay Shore Plant,Capture & Storage,Plant in Operation,Terminated,1/1/2009,First Energy,United States,Oregon,Only uses one coal-fired unit and one oil-fired unit currently. Other units were shut down.,Bay Shore Plant,https://www.firstenergycorp.com/content/dam/corporate/generationmap/files/Bay%20Shore%20Plant%20Facts.pdf,,Amines,Tonnes per Day,41.689842,-83.437491,438
Fairview ZeroCarbon Project,Capture & Storage,Plant Design,Terminated,1/1/2009,Australian Government,Australia,Injune,Fairview ZeroCarbon project (ZCP) will receive A$ 75 million from the Australian Government for enhanced coal bed methane (ECBM) production and carbon dioxide sequestration.  The project will operate 100 MW plant and sequester the CO2 to a depth of 700m.,Injune Power Plant,http://globalenergyobservatory.org/geoid/40151,,Amines,Tonnes per Day,-25.843656,148.565414,274
E.ON Ruhrgas Killingholme IGCC,Capture & Storage,Plant Design,Terminated,1/1/2019,E.ON,United Kingdom,North Killingholme,"Large-scale IGCC Plant with CCS. Capture up to 2.5 Mt/yr of  CO2, compress and transport to gas fields under the North Sea. In March 2015 E.ON announced the cancellation of the project.",Killingholme Station,http://sequestration.mit.edu/tools/projects/killingholme.html,,Solvents,Tonnes per Day,53.65401077,-0.258845001,"6,850"
DONG Energy - High-Efficiency PC Plant in Greifswalde,Capture & Storage,Plant Design,Terminated,,DONG Energy,Germany,Greifswalde,"The 1,600 MW proposed power plant plan was withdrawn due to a lack of political backing.",Griefswalde PC Plant,http://globalenergyobservatory.org/geoid/40324,,Chilled Ammonia,% Reduction,54.081028,13.488122,90
CATO1 - Rotterdam ROAD project,Capture & Storage,Planning,Terminated,1/1/2015,E.ON Benelux,Netherlands,Rotterdam,"Project plan is to capture 1.1 million tonnes of CO2 per year from a new power plant at the Maasvlakte and will store the captured CO2 in a depleted gas reservoir under the North Sea via 25 km pipeline (5 km onshore, 20 km offshore in depleted gas field).",Maasvlakte,https://www.portofrotterdam.com/en/news-and-press-releases/road-project-to-be-cancelled-ccs-to-continue,,Cryogenic,Tonnes per Day,51.958989,4.026485,"3,014"
Browse LNG,Capture & Storage,Planning,Terminated,9/1/2010,Woodside,Australia,Browse Basin,The project was to develop three gas fields with plans to study the potential to transport and store CO2 removed from feed gas.,Proposed LNG Facility,http://www.zeroco2.no/projects/browse-lng,,Amines,,-14.43468022,120.6738281,
BP-Peterhead Hydrogen Power Plant/Miller Field Project,Capture & Storage,Engineering design,Terminated,1/1/2011,Shell,Scotland,Peterhead,"BPs initial hydrogen power project at Peterhead, Scotland was terminated. In 2011, Shell re-proposed to capture post-combustion CO2 from an existing plant and pipe it to Goldeneye Gas field (North Sea) for EOR. A full design study began in 2012.",Scottish & Southern Energys Peterhead power station,http://ieahydrogen.org/pdfs/Case-Studies/PeterheadCase_Study1-2.aspx,,Amines,Tonnes per Day,57.477624,-1.788701,"2,740"
Belchatow CCS Project,Capture & Storage,Plant Design,Terminated,1/1/2010,Alstom Power,Poland,Belchatow,"Project to capture approximately 100,000 tonnes per year of CO2 using Alstoms amines technology. Second phase of project was to build a larger CCS plant at the Belchatow 2 Power Station. In May 2012, PGE announced it was suspending project due to costs.",Belchatow Power Station,http://sequestration.mit.edu/tools/projects/belchatow.html,,Amines,Tonnes per Day,51.266389,19.330556,"4,932"
Baard Energy - Ohio River Clean Fuels,Capture & Storage,,Terminated,1/1/2012,Baard Energy,United States,Wellsville,"This project involves the development of a carbon management plan for a proposed coal and biomass to liquids (CBTL) plant. The plant is now being operated by natural gas, not liquified coal, in order to facilitate project completion.",Ohio River Clean Fuels,http://www.netl.doe.gov/File%20Library/Research/Coal/carbon-storage/Proj606.pdf,,Solvents,% Reduction,40.602446,-80.650773,85
Aviva Corp Coolimba Oxyfuel Project,Capture & Storage,Planning,Terminated,1/1/2010,Coolimba Power,Australia,Eneabba,Aviva Corporation and AES were planning to build a new 2x200-MW oxyfuel-ready power station with the potential to capture and store up to 90% of its CO2 emissions.,Coolimba Power,http://www.zeroco2.no/projects/coolimba,,,Tonnes per Day,-29.81,115.24,"7,946"
American Electric Power - Mountaineer,Capture & Storage,,Terminated,1/1/2009,American Electric Power,United States,New Haven,Phase I: Start 2009 - Scheduled to operate for 18 months (up to 5 years). Phase II: 2015 - Phase II has been cancelled due to unknown climate policy.,Mountaineer,https://sequestration.mit.edu/tools/projects/aep_alstom_mountaineer.html,,Alstom Chilled Ammonia Process,Tonnes Total,38.97882462,-81.938797,"15,000"
Taylorville Energy Center,Capture,Permitting,Terminated,1/1/2014,Tenaska Inc.,United States,Taylorville,Tenaska announced that it was cancelling both of its CCS projects on June 2013. Taylorville and Trailblazer were both cut from Tenaska's portfolio in favor of renewable and gas-fired power generation.,Taylorville Energy Center IGCC,https://sequestration.mit.edu/tools/projects/taylorville.html,,,% Reduction,39.589044,-89.188766,55
Sweeny Polygeneration with CO2 Capture,Capture,Planning,Terminated,1/1/2016,ConocoPhillips,United States,Sweeny,"ConocoPhillips is no longer pursuing the IGCC plant, and formally withdrew the air permit application for the project on April 13, 2012.",Commercial Source,http://sequestration.mit.edu/tools/projects/sweeny.html,,ConocoPhillips E-Gas Gasification,Tonnes per Day,29.07198,-95.749718,"13,700"
Seminole Electric Cooperative,Capture,Permitting,Terminated,1/1/2006,Seminole Electric Cooperative,United States,Palatka,This project would make SGS Unit 3 (750 MW)  the first electric generating unit in Florida to propose installing a carbon dioxide capture demonstration project.,Seminole Generating Station,http://www.powermag.com/seminole-scraps-plans-for-1-4-billion-coal-fired-unit-in-florida/,,,Tonnes per Day,29.7329,-81.6332,"13,801"
Scottish Power - Cockenzie Project,Capture,Plant Closed,Terminated,1/1/2012,Scottish Power,United Kingdom,Cockenzie,Scottish Power plans to convert the plant from coal to to combined cycle gas turbine reducing carbon emissions. The plant will be carbon capture ready and required to fit full carbon capture and storage technology once it is commercially available.,Cockenzie Power Plants,http://www.gov.scot/News/Releases/2011/10/05131125,,,% Reduction,55.967693,-2.9709975,5
RWE nPower - Blyth Post-Combustion Project,Capture,Planning,Terminated,1/1/2014,RWE nPower,United Kingdom,Cambois,"It may eventually install CCS equipment once the technology is ""proven."" Capture technology was able to capture 90% CO2. Project stopped due to uncertain economic climate in 2009.",Blyth Power Station,http://www.zeroco2.no/projects/rwe-npower-2013-blyth-post-combustion-project,,,Tonnes per Day,55.143175,-1.527295,"8,220"
Nuon Power Buggenum,Capture,Capture Ongoing,Terminated,2/1/2011,Nuon,Netherlands,Buggenum,"With the pilot in Buggenum, Nuon intends to make CO2 capture technology suitable for the energy sector. The knowledge and experience can then be applied in the new power plant Nuon Magnum in the Eemshaven in Groningen.",Willem-Alexander Power Plant,http://www.netl.doe.gov/research/coal/energy-systems/gasification/gasifipedia/nuon,,,Tonnes per Day,51.22278,5.9733,822
NRG Energy Inc. (Somerset Plant),Capture,Permitting,Terminated,1/1/2010,NRG Energy Inc.,United States,Bristol County,"NRG Corp of Canada planned to install their plasma gasification technology at Somerset and build a 120 MW coal and biomass unit.  Received regulatory approval form Mass. DEP Jan. 25, 2009.  Permit application withdrawn on 2-3-2011.",Somerset Plant,http://www.clf.org/wp-content/uploads/2011/02/20110218.DEP-ltr-to-NRG.Termination-Withdrawals.pdf,,,,41.73715,-71.146057,
Lianyungang IGCC with CO2 Capture,Capture,Plant Design,Terminated,,Chinese Government,China,Lianyungang,Will utilize power and chemical coproduction plants to capture up to 1 million tonnes CO2 and transport via pipeline to use in EOR. Also constructing a 1300 MW ultra pulverized coal power plant.,Lianyungang R&D IGCC Facility,http://www.zeroco2.no/projects/lianyungang-igcc,,Gas Separation,Tonnes per Day,34.596891,119.220804,"2,740"
FINNCAP - Meri Pori CCS Project,Capture,Developing Infrastructure,Terminated,1/1/2015,Fortum,Finland,Pori,CO2 capture for beneficial re-use (EOR).,Meri-Pori coal-fired power plant,http://www.zeroco2.no/projects/meri-pori,,Siemens Energy Technology,Tonnes per Day,61.631878,21.40684,"3,288"
E.ON Kingsnorth Ruhrgas UK Post-Combustion Project,Capture,Plant Design,Terminated,1/1/2012,E.ON,United Kingdom,Kingsnorth (Medway), Project was cancelled in March 2012 due to economic hurdles to construction.,Kingsnorth Power Station,http://www.zeroco2.no/projects/e.on-2013-kingsnorth-post-combustion-project,,Amines,% Reduction,51.418737,0.601415,20
American Electric Power - Tanners Creek Plant,Capture,Plant Design,Terminated,12/31/2014,American Electric Power,United States,Dearborn County,"After reviewing results of the retrofit feasibility study, Tanners Creek #4 unit will be retired by mid-2015. Units #1 through #3 will also be taken offline by mid-2015.",Tanners Creek Plant,https://www.aep.com/newSroom/newSreleaSeS/Default.aspx?id=1834,,,Megawatt,39.082102,-84.859778,500
American Electric Power - Red Rock Facility,Capture,Permitting,Terminated,1/1/2011,American Electric Power,United States,Noble County,Pre-approval for permit denied; OCC didnt look at alternative energy sources. No mention of CCS with this project.,Red Rock Generating Facility,http://www.aep.com/newsroom/newsreleases/?id=1396,,,Megawatt,36.476601,-97.177595,950
AES Shady Point,Capture,Plant in Operation,Terminated,1/1/1991,AES Corporation,United States,Panama,The CO2 is scrubbed from the flue gas stream via an ABB Lummus scrubber system that uses monoethanolamine (MEA) as its solvent. Produces 200 tons/day CO2 that is used for food-grade applications.,Shady Point Power Plant,https://www.globalccsinstitute.com/projects/aes-shady-point-warrior-run-co2-recovery-plants,,Ethanol-amino solvent,Tonnes per Day,35.191944,-94.6425,200
Western Kentucky CO2 Test,Storage,Well Drilling,Completed,7/1/2009,Kentucky Geological Survey,United States,Hancock County,Drilled through the Knox and Mount Simon formations and tested their potential to permanently store CO2. The well penetrated the Precambrian basement rocks. 323 tons of carbon dioxide were successfully injected into deep formations.,Commercial Source,http://www.uky.edu/KGS/kyccs/ppt/Bowersox030411.pdf,,,Tonnes Total,37.792519,-86.69423,690
WESTCARB Validation Phase - Arizona Utilities CO2 Storage Pilot,Storage,,Completed,1/1/2008,Arizona Public Service,United States,Holbrook,"This project involved drilling a well approximately 3,800 feet deep to evaluate saline formation CO2 storage in Arizonas Colorado Plateau region.  Potential storage targets are the Naco and Martin formations.  Insufficent permeability detected.",Commercial Source,http://www.westcarb.org/AZ_pilot_cholla.html,,,Tonnes Total,34.928611,-110.258611,0
Virginia Tech - Small-scale Injection Project,Storage,Injection Complete,Completed,10/1/2011,Virginia Polytechnical Institute (Virginia Tech),United States,Russell and Buchanan Counties,"This project will evaluate unconventional carbon storage reservoirs (shales, coal seams) in Central Appalachia.  The project proposes to inject 20,000 tonnes of supercritical CO2 into unmineable coal seams (Oakwood or Sourwood).",CO2 injection into the Oakwood or Sourwood coal seams in Central Appalachia.,http://www.netl.doe.gov/publications/factsheets/project/DE-FE0006827.pdf,,,Tonnes Total,37.036435,-82.144217,"20,300"
University of Kansas - Small-scale Injection Project,Storage,Injection Complete,Completed,10/1/2011,Kansas Geological Survey,United States,Wellington,"This project will inject 40,000 tonnes of supercritical CO2 into the Arbuckle saline aquifer, and 30,000 tonnes of supercritical CO2 into the oil-bearing dolomite within the Wellington Field. DOE project completed 9/30/2017.",Carbon storage operations within the Arbuckle saline reservoir and the Wellington Field for EOR.,http://www.netl.doe.gov/publications/factsheets/project/de-fe0006821.pdf,,,Tonnes Total,37.319659,-97.433597,"40,000"
SWP Validation Phase - SACROC CO2 Injection Project,Storage,,Completed,9/1/2008,New Mexico Institute of Mining and Technology,United States,Snyder,"This test included a post-audit modeling analysis of injected CO2 for EOR over the last 30 years at the SACROC Unit in the Permian Basin of Texas, in addition to intense MVA analyses of ongoing CO2 injection at SACROC.",Commercial Source,https://www.netl.doe.gov/publications/proceedings/08/rcsp/factsheets/10-SWP_SACROC%20EOR%20Sequestration_Oil.pdf,,,Tonnes Total,32.809575,-100.9307056,"157,000"
SWP Validation Phase - Pump Canyon CO2-ECBM Sequestration Demonstration,Storage,,Completed,7/1/2008,New Mexico Institute of Mining and Technology,United States,Navajo City,The San Juan Basin pilot test examined ECBM efficacy and degree of CO2 sequestration by injecting CO2 sourced from the McElmo Dome into the coals of the Upper Cretaceous Fruitland formation in the San Juan Basin.,McElmo Dome,https://www.adv-res.com/pdf/RECS_ARI.pdf,,,Tonnes Total,36.85479722,-107.6983472,"16,700"
SWP Validation Phase - Aneth EOR Sequestration Project,Storage,,Completed,8/1/2007,New Mexico Institute of Mining and Technology,United States,San Juan County,"Starting in August 2007, the SWP has tested EOR combined with sequestration by injecting CO2 into the Desert Creek and Ismay producing zone, approximately 5,800 feet deep, in the Aneth Oil Field in San Juan County.",McElmo Dome,https://www.netl.doe.gov/publications/proceedings/08/rcsp/factsheets/6-SWP_Aneth%20EOR%20and%20Sequestration%20Test_%20Oil.pdf,,,Tonnes Total,37.30745,-109.3378278,"292,000"
Site Characterization of the Highest-Priority Geologic Formations for CO2 Storage in Wyoming,Storage,,Completed,12/8/2009,University of Wyoming,United States,Laramie,Characterization of the Rock Springs Uplift (RSU) and Moxa Arch deep saline reservoirs in southwestern Wyoming to pave the way for commercial scale CO2 sequestration projects.,,https://www.netl.doe.gov/File%20Library/Events/2012/Carbon%20Storage%20RD%20Project%20Review%20Meeting/Surdam.pdf,,,,41.712614,-108.79482,
Site Characterization for CO2 Storage from Coal-fired Power Facilities in the Black Warrior Basin of Alabama,Storage,,Completed,12/8/2009,University of Alabama,United States,Parrish,This project assessed CO2 storage capacity in the Black Warrior Basin. Test well drilled at the Alabama Power Goras Plant.,,https://www.netl.doe.gov/research/coal/project-information/proj?k=FE0001910,,,,33.647396,-87.195723,
