Market,Chart,Name,Unit,2024,2025
Smart Appliances,Revenue Comparison,Ireland,USD (US$),"59,167,318.66","67,079,665.17"
Smart Appliances,Revenue Comparison,Peru,USD (US$),"51,647,536.19","59,277,890.20"
Smart Appliances,Revenue Comparison,Pakistan,USD (US$),"40,634,794.89","42,824,951.83"
Smart Appliances,Revenue Comparison,Ukraine,USD (US$),"39,006,541.61","45,637,463.02"
Smart Appliances,Revenue Comparison,United Arab Emirates,USD (US$),"33,478,736.81","37,760,839.68"
Smart Appliances,Revenue Comparison,Kenya,USD (US$),"27,290,115.70","30,814,395.75"
Smart Appliances,Revenue Comparison,Slovakia,USD (US$),"27,186,343.42","30,051,278.40"
Smart Appliances,Revenue Comparison,Lithuania,USD (US$),"25,931,232.87","29,896,537.55"
Smart Appliances,Revenue Comparison,Bulgaria,USD (US$),"24,999,922.49","28,433,317.23"
Smart Appliances,Revenue Comparison,Dominican Republic,USD (US$),"22,188,112.90","24,881,145.80"
Smart Appliances,Revenue Comparison,Myanmar,USD (US$),"20,447,374.47","23,050,166.03"
Smart Appliances,Revenue Comparison,Sri Lanka,USD (US$),"18,895,557.44","20,901,468.70"
Smart Appliances,Revenue Comparison,Croatia,USD (US$),"18,297,840.91","20,947,177.09"
Smart Appliances,Revenue Comparison,Algeria,USD (US$),"16,099,192.00","17,859,157.23"
Smart Appliances,Revenue Comparison,Ethiopia,USD (US$),"15,890,479.23","17,972,474.09"
Smart Appliances,Revenue Comparison,Kazakhstan,USD (US$),"13,027,613.57","15,002,401.54"
Smart Appliances,Revenue Comparison,Ecuador,USD (US$),"12,762,046.13","14,024,771.00"
Smart Appliances,Revenue Comparison,Guatemala,USD (US$),"12,208,623.78","13,984,119.68"
Smart Appliances,Revenue Comparison,Uzbekistan,USD (US$),"12,150,713.53","14,136,875.44"
Smart Appliances,Revenue Comparison,Tanzania,USD (US$),"11,825,726.46","13,885,052.57"
Smart Appliances,Revenue Comparison,Belarus,USD (US$),"11,692,597.36","12,954,105.42"
Smart Appliances,Revenue Comparison,Tunisia,USD (US$),"11,056,553.85","12,735,045.65"
Smart Appliances,Revenue Comparison,Qatar,USD (US$),"11,030,072.26","13,421,390.59"
Smart Appliances,Revenue Comparison,Ghana,USD (US$),"10,622,423.53","12,002,695.74"
Smart Appliances,Revenue Comparison,Iraq,USD (US$),"10,053,675.23","11,496,210.46"
Smart Appliances,Revenue Comparison,Uganda,USD (US$),"9,660,132.93","11,321,987.06"
Smart Appliances,Revenue Comparison,Angola,USD (US$),"9,627,733.49","11,117,526.09"
Smart Appliances,Revenue Comparison,Latvia,USD (US$),"9,472,877.70","10,516,904.50"
Smart Appliances,Revenue Comparison,Mozambique,USD (US$),"8,878,526.40","10,294,802.58"
Smart Appliances,Revenue Comparison,Bolivia,USD (US$),"7,804,787.73","8,781,171.74"
Smart Appliances,Revenue Comparison,Nepal,USD (US$),"7,655,788.11","8,852,111.76"
Smart Appliances,Revenue Comparison,Costa Rica,USD (US$),"7,170,659.63","7,992,720.54"
Smart Appliances,Revenue Comparison,Ivory Coast,USD (US$),"7,074,945.54","8,096,328.22"
Smart Appliances,Revenue Comparison,Azerbaijan,USD (US$),"7,072,793.63","7,918,685.58"
Smart Appliances,Revenue Comparison,Paraguay,USD (US$),"6,797,704.00","7,833,047.50"
Smart Appliances,Revenue Comparison,Cambodia,USD (US$),"6,738,056.00","7,588,425.17"
Smart Appliances,Revenue Comparison,Cameroon,USD (US$),"6,024,766.68","6,924,543.62"
Smart Appliances,Revenue Comparison,Slovenia,USD (US$),"5,811,837.44","6,520,154.95"
Smart Appliances,Revenue Comparison,Moldova,USD (US$),"5,192,701.65","5,915,061.66"
Smart Appliances,Revenue Comparison,Oman,USD (US$),"5,178,384.86","5,809,502.39"
Smart Appliances,Revenue Comparison,El Salvador,USD (US$),"5,035,173.96","5,642,605.97"
Smart Appliances,Revenue Comparison,Jordan,USD (US$),"5,032,905.88","5,696,761.58"
Smart Appliances,Revenue Comparison,Sudan,USD (US$),"4,995,589.29","5,788,307.22"
Smart Appliances,Revenue Comparison,Haiti,USD (US$),"4,884,216.73","5,594,186.27"
Smart Appliances,Revenue Comparison,Honduras,USD (US$),"4,312,200.21","4,915,890.43"
Smart Appliances,Revenue Comparison,Madagascar,USD (US$),"4,183,189.22","4,837,728.92"
Smart Appliances,Revenue Comparison,Uruguay,USD (US$),"3,970,084.44","4,628,240.69"
Smart Appliances,Revenue Comparison,Panama,USD (US$),"3,938,923.87","4,550,314.61"
Smart Appliances,Revenue Comparison,Senegal,USD (US$),"3,792,218.33","4,455,746.64"
Smart Appliances,Revenue Comparison,Albania,USD (US$),"3,585,296.29","4,167,142.16"
Smart Appliances,Revenue Comparison,Zambia,USD (US$),"3,567,980.71","4,146,140.19"
Smart Appliances,Revenue Comparison,Cuba,USD (US$),"3,495,897.88","3,778,411.51"
Smart Appliances,Revenue Comparison,Zimbabwe,USD (US$),"3,355,535.10","3,931,706.96"
Smart Appliances,Revenue Comparison,Benin,USD (US$),"3,259,871.91","3,771,431.18"
Smart Appliances,Revenue Comparison,Armenia,USD (US$),"3,020,863.18","3,417,949.38"
Smart Appliances,Revenue Comparison,Rwanda,USD (US$),"2,909,047.97","3,434,485.58"
Smart Appliances,Revenue Comparison,Lebanon,USD (US$),"2,812,770.23","3,223,740.67"
Smart Appliances,Revenue Comparison,Kyrgyzstan,USD (US$),"2,701,897.28","3,108,036.72"
Smart Appliances,Revenue Comparison,Georgia,USD (US$),"2,471,185.63","2,760,765.60"
Smart Appliances,Revenue Comparison,Laos,USD (US$),"2,458,272.87","2,800,680.61"
Smart Appliances,Revenue Comparison,Kuwait,USD (US$),"2,450,176.79","2,778,065.76"
Smart Appliances,Revenue Comparison,Bosnia and Herzegovina,USD (US$),"2,428,977.39","2,724,701.65"
Smart Appliances,Revenue Comparison,Burkina Faso,USD (US$),"2,367,113.87","2,735,377.93"
Smart Appliances,Revenue Comparison,Niger,USD (US$),"2,348,145.22","2,843,973.00"
Smart Appliances,Revenue Comparison,Luxembourg,USD (US$),"2,310,800.76","2,577,734.66"
Smart Appliances,Revenue Comparison,Malawi,USD (US$),"2,148,755.71","2,526,273.88"
Smart Appliances,Revenue Comparison,Nicaragua,USD (US$),"2,091,733.52","2,390,739.02"
Smart Appliances,Revenue Comparison,Tajikistan,USD (US$),"1,989,467.73","2,348,034.51"
Smart Appliances,Revenue Comparison,Papua New Guinea,USD (US$),"1,906,642.67","2,228,719.67"
Smart Appliances,Revenue Comparison,Chad,USD (US$),"1,803,589.70","2,105,428.24"
Smart Appliances,Revenue Comparison,Jamaica,USD (US$),"1,773,553.48","1,987,207.44"
Smart Appliances,Revenue Comparison,Burundi,USD (US$),"1,723,894.14","2,080,274.00"
Smart Appliances,Revenue Comparison,Togo,USD (US$),"1,599,914.14","1,901,473.78"
Smart Appliances,Revenue Comparison,Iceland,USD (US$),"1,547,719.55","1,743,838.91"
Smart Appliances,Revenue Comparison,Mongolia,USD (US$),"1,505,865.61","1,690,326.29"
Smart Appliances,Revenue Comparison,Guinea,USD (US$),"1,483,097.49","1,753,745.07"
Smart Appliances,Revenue Comparison,Turkmenistan,USD (US$),"1,417,228.97","1,718,259.95"
Smart Appliances,Revenue Comparison,North Macedonia,USD (US$),"1,372,703.51","1,580,731.27"
Smart Appliances,Revenue Comparison,Malta,USD (US$),"1,083,540.55","1,247,842.62"
Smart Appliances,Revenue Comparison,Cyprus,USD (US$),"1,040,823.61","1,222,387.17"
Smart Appliances,Revenue Comparison,Botswana,USD (US$),"988,527.85","1,112,040.64"
Smart Appliances,Revenue Comparison,Mauritius,USD (US$),"887,524.58","1,017,410.70"
Smart Appliances,Revenue Comparison,Bahrain,USD (US$),"830,967.51","952,171.63"
Smart Appliances,Revenue Comparison,Namibia,USD (US$),"660,883.83","761,728.45"
Smart Appliances,Revenue Comparison,Guyana,USD (US$),"660,537.91","805,240.76"
Smart Appliances,Revenue Comparison,Sierra Leone,USD (US$),"637,294.52","757,474.34"
Smart Appliances,Revenue Comparison,Gabon,USD (US$),"613,421.95","694,291.46"
Smart Appliances,Revenue Comparison,Republic of the Congo,USD (US$),"593,245.09","695,694.80"
Smart Appliances,Revenue Comparison,Lesotho,USD (US$),"476,014.74","522,710.96"
Smart Appliances,Revenue Comparison,Montenegro,USD (US$),"328,911.94","373,085.30"
Smart Appliances,Revenue Comparison,Fiji,USD (US$),"272,827.53","307,493.01"
Smart Appliances,Revenue Comparison,Brunei Darussalam,USD (US$),"224,616.29","252,229.89"
Smart Appliances,Revenue Comparison,Gambia,USD (US$),"179,065.11","200,507.41"
Smart Appliances,Revenue Comparison,Equatorial Guinea,USD (US$),"173,178.51","192,623.43"
Smart Appliances,Revenue Comparison,Bhutan,USD (US$),"165,357.96","187,331.71"
Smart Appliances,Revenue Comparison,Timor-Leste,USD (US$),"158,947.23","185,858.88"
Smart Appliances,Revenue Comparison,Belize,USD (US$),"139,778.78","148,839.71"
Smart Appliances,Revenue Comparison,Suriname,USD (US$),"106,577.41","119,281.50"
Smart Appliances,Revenue Comparison,Seychelles,USD (US$),"41,423.04","48,078.95"
